"","PlayerName","pos","points","marg","value"
"448","Temarrick Hemingway","te",0.55,-58.335,0
"449","Brenton Bersin","wr",1.25,-58.545,0
"450","Marlon Moore","wr",1.2,-58.595,0
"451","Brian Tyms","wr",1.15,-58.645,0
"452","Scott Simonson","te",0.05,-58.835,0
"453","Randall Telfer","te",0.05,-58.835,0
"454","Matt LaCosse","te",0.05,-58.835,0
"455","Scott Chandler","te",0,-58.885,0
"456","Orson Charles","te",0,-58.885,0
"457","Dominique Jones","te",0,-58.885,0
"458","MarQueis Gray","te",0,-58.885,0
"459","Brandon Williams","te",0,-58.885,0
"460","Marcel Jensen","te",0,-58.885,0
"461","Xavier Grimble","te",0,-58.885,0
"462","Bear Pascoe","te",0,-58.885,0
"463","Chase Coffman","te",0,-58.885,0
"464","Kennard Backman","te",0,-58.885,0
"465","Gabe Holmes","te",0,-58.885,0
"466","Matthew Mulligan","te",0,-58.885,0
"467","Tony Moeaki","te",0,-58.885,0
"468","Owen Daniels","te",0,-58.885,0
"469","Thomas Duarte","te",0,-58.885,0
"470","Paul Perkins","rb",49.05,-59.155,0
"471","Brittan Golden","wr",0.35,-59.445,0
"472","Geremy Davis","wr",0.25,-59.545,0
"473","Seth DeValve","wr",0.05,-59.745,0
"474","Trey Burton","wr",0.05,-59.745,0
"475","Vincent Brown","wr",0,-59.795,0
"476","Jonathan Krause","wr",0,-59.795,0
"477","Justin Blackmon","wr",0,-59.795,0
"478","Vince Mayle","wr",0,-59.795,0
"479","Dres Anderson","wr",0,-59.795,0
"480","Kashif Moore","wr",0,-59.795,0
"481","LaRon Byrd","wr",0,-59.795,0
"482","Nathan Palmer","wr",0,-59.795,0
"483","Darren Waller","wr",0,-59.795,0
"484","Rodney Smith","wr",0,-59.795,0
"485","Tavarres King","wr",0,-59.795,0
"486","Cobi Hamilton","wr",0,-59.795,0
"487","Demarcus Ayers","wr",0,-59.795,0
"488","Marcus Lucas","wr",0,-59.795,0
"489","Trevor Davis","wr",0,-59.795,0
"490","Moritz Boehringer","wr",0,-59.795,0
"491","Lance Moore","wr",0,-59.795,0
"492","Marques Colston","wr",0,-59.795,0
"493","Matt Slater","wr",0,-59.795,0
"494","Arrelious Benn","wr",0,-59.795,0
"495","Mike Williams","wr",0,-59.795,0
"496","Kyle Williams","wr",0,-59.795,0
"497","Greg Little","wr",0,-59.795,0
"498","Kenneth Dixon","rb",48.07,-60.135,0
"499","Alfred Morris","rb",47.8,-60.405,0
"500","Shaun Draughn","rb",47.665,-60.54,0
"501","Alfred Blue","rb",47.495,-60.71,0
"502","Ka'Deem Carey","rb",47.155,-61.05,0
"503","Chris Thompson","rb",46.855,-61.35,0
"504","C.J. Spiller","rb",45.585,-62.62,0
"505","Benny Cunningham","rb",44.675,-63.53,0
"506","Tre Mason","rb",44.235,-63.97,0
"507","Andre Ellington","rb",42.615,-65.59,0
"508","Jared Goff","qb",185.854,-66.914,0
"509","Charcandrick West","rb",40.95,-67.255,0
"510","Terrance West","rb",40.585,-67.62,0
"511","Tyler Ervin","rb",40.345,-67.86,0
"512","Mike Tolbert","rb",39.73,-68.475,0
"513","Khiry Robinson","rb",39.205,-69,0
"514","Wendell Smallwood","rb",38.745,-69.46,0
"515","Damien Williams","rb",37.89,-70.315,0
"516","Robert Turbin","rb",36.785,-71.42,0
"517","Kenyan Drake","rb",36.73,-71.475,0
"518","Christine Michael","rb",36.4,-71.805,0
"519","Zach Line","rb",35.55,-72.655,0
"520","Knile Davis","rb",34.07,-74.135,0
"521","Jonas Gray","rb",34.03,-74.175,0
"522","Dexter McCluster","rb",28.645,-79.56,0
"523","Zach Zenner","rb",28.25,-79.955,0
"524","Mike Gillislee","rb",28.155,-80.05,0
"525","Matt Asiata","rb",27.78,-80.425,0
"526","Branden Oliver","rb",27.75,-80.455,0
"527","James White","rb",27.67,-80.535,0
"528","Keith Marshall","rb",27.24,-80.965,0
"529","Brandon Bolden","rb",26.92,-81.285,0
"530","Taiwan Jones","rb",25.89,-82.315,0
"531","De'Anthony Thomas","rb",25.55,-82.655,0
"532","Stevan Ridley","rb",25.355,-82.85,0
"533","Denard Robinson","rb",23.71,-84.495,0
"534","Alex Collins","rb",23.375,-84.83,0
"535","David Cobb","rb",23.25,-84.955,0
"536","Antonio Andrews","rb",21.53,-86.675,0
"537","Marcel Reece","rb",21.36,-86.845,0
"538","Orleans Darkwa","rb",20.895,-87.31,0
"539","Jonathan Grimes","rb",20.59,-87.615,0
"540","Kelvin Taylor","rb",20.23,-87.975,0
"541","Mack Brown","rb",20,-88.205,0
"542","Sam Bradford","qb",164.154,-88.614,0
"543","Silas Redd","rb",19.05,-89.155,0
"544","Connor Barth","k",41,-89.5,0
"545","Lorenzo Taliaferro","rb",18.64,-89.565,0
"546","Jacquizz Rodgers","rb",18.165,-90.04,0
"547","Reggie Bush","rb",17.845,-90.36,0
"548","DuJuan Harris","rb",17.8,-90.405,0
"549","Jordan Todman","rb",17.65,-90.555,0
"550","Stepfan Taylor","rb",16.945,-91.26,0
"551","Kendall Gaskins","rb",16.2,-92.005,0
"552","Juwan Thompson","rb",16.115,-92.09,0
"553","Jamize Olawale","rb",16.05,-92.155,0
"554","Andre Williams","rb",15.53,-92.675,0
"555","Lance Dunbar","rb",14.64,-93.565,0
"556","Kenjon Barner","rb",14.43,-93.775,0
"557","Patrick DiMarco","rb",14.425,-93.78,0
"558","Roy Helu","rb",14.415,-93.79,0
"559","Terron Ward","rb",13.79,-94.415,0
"560","Isaiah Pead","rb",13.75,-94.455,0
"561","Bobby Rainey","rb",13.6,-94.605,0
"562","Jalston Fowler","rb",13.25,-94.955,0
"563","Fitzgerald Toussaint","rb",13.14,-95.065,0
"564","Fozzy Whittaker","rb",13.075,-95.13,0
"565","Bruce Miller","rb",12.98,-95.225,0
"566","Will Johnson","rb",12.475,-95.73,0
"567","Mike Davis","rb",11.97,-96.235,0
"568","Jonathan Williams","rb",11.515,-96.69,0
"569","Mike James","rb",10.475,-97.73,0
"570","Michael Burton","rb",9.75,-98.455,0
"571","John Crockett","rb",9.715,-98.49,0
"572","Kyle Juszczyk","rb",9.595,-98.61,0
"573","Dwayne Washington","rb",9.235,-98.97,0
"574","Malcolm Brown","rb",9.15,-99.055,0
"575","Aaron Ripkowski","rb",9.125,-99.08,0
"576","Kerwynn Williams","rb",8.75,-99.455,0
"577","Keenan Reynolds","rb",8.25,-99.955,0
"578","Zac Stacy","rb",8.16,-100.045,0
"579","Donald Brown","rb",7.645,-100.56,0
"580","Daniel Thomas","rb",7.45,-100.755,0
"581","Daniel Lasco","rb",7.205,-101,0
"582","Rod Smith","rb",7.12,-101.085,0
"583","Dan Vitale","rb",6.85,-101.355,0
"584","Jay Prosch","rb",6.84,-101.365,0
"585","James Develin","rb",6.595,-101.61,0
"586","Akeem Hunt","rb",6.555,-101.65,0
"587","Cedric Peerman","rb",6.225,-101.98,0
"588","Chase Reynolds","rb",5.735,-102.47,0
"589","Raheem Mostert","rb",5.615,-102.59,0
"590","Gus Johnson","rb",4.8,-103.405,0
"591","Jerome Felton","rb",4.765,-103.44,0
"592","Tommy Bohanon","rb",4.725,-103.48,0
"593","Daryl Richardson","rb",4.665,-103.54,0
"594","Ryan Hewitt","rb",4.355,-103.85,0
"595","Anthony Sherman","rb",4.28,-103.925,0
"596","John Kuhn","rb",3.945,-104.26,0
"597","Glenn Winston","rb",3.505,-104.7,0
"598","Travaris Cadet","rb",3.41,-104.795,0
"599","Jhurell Pressley","rb",3.3,-104.905,0
"600","Rex Burkhead","rb",2.925,-105.28,0
"601","Storm Johnson","rb",2.8,-105.405,0
"602","Brandon Wegher","rb",2.3,-105.905,0
"603","Trent Richardson","rb",1.75,-106.455,0
"604","Bernard Pierce","rb",1.6,-106.605,0
"605","Tyler Varga","rb",0.7,-107.505,0
"606","George Atkinson","rb",0.5,-107.705,0
"607","Darius Jackson","rb",0.2,-108.005,0
"608","Rajion Neal","rb",0.2,-108.005,0
"609","Kenny Hilliard","rb",0.1,-108.105,0
"610","Trey Williams","rb",0.1,-108.105,0
"611","Darrel Young","rb",0,-108.205,0
