"","PlayerName","pos","points","marg","value"
"105","Tavon Austin","wr",70.58,-4.35000000000001,0
"106","Tyler Lockett","wr",70.565,-4.36500000000001,0
"107","Kevin White","wr",70.335,-4.595,0
"108","Jay Cutler","qb",280.378,-5.61599999999999,0
"109","Eric Ebron","te",53.625,-7.02,0
"110","Vincent Jackson","wr",67.145,-7.785,0
"111","Ameer Abdullah","rb",119.245,-8.08,0
"112","Brock Osweiler","qb",277.672,-8.32199999999995,0
"113","Charles Clay","te",51.315,-9.33,0
"114","Sterling Shepard","wr",65.175,-9.75500000000001,0
"115","Willie Snead","wr",65.075,-9.855,0
"116","Markus Wheaton","wr",64.055,-10.875,0
"117","Rashad Jennings","rb",116.3,-11.025,0
"118","Kyle Rudolph","te",49.01,-11.635,0
"119","Steve Smith","wr",63.045,-11.885,0
"120","Giovani Bernard","rb",115.3,-12.025,0
"121","Terrance Williams","wr",60.98,-13.95,0
"122","Jordan Cameron","te",46.105,-14.54,0
"123","Corey Coleman","wr",59.795,-15.135,0
"124","Austin Seferian-Jenkins","te",45.305,-15.34,0
"125","Arian Foster","rb",111.86,-15.465,0
"126","Clive Walford","te",45.14,-15.505,0
"127","T.J. Yeldon","rb",111.585,-15.74,0
"128","Travis Benjamin","wr",58.16,-16.77,0
"129","Josh Gordon","wr",57.45,-17.48,0
"130","LeGarrette Blount","rb",109.74,-17.585,0
"131","Dorial Green-Beckham","wr",56.995,-17.935,0
"132","Mohamed Sanu","wr",56.685,-18.245,0
"133","Richard Rodgers","te",41.94,-18.705,0
"134","Isaiah Crowell","rb",108.205,-19.12,0
"135","Pierre Garcon","wr",54.885,-20.045,0
"136","Jared Cook","te",40.035,-20.61,0
"137","Michael Thomas","wr",54.265,-20.665,0
"138","Kamar Aiken","wr",53.79,-21.14,0
"139","Laquon Treadwell","wr",53.645,-21.285,0
"140","Sammie Coates","wr",53.41,-21.52,0
"141","Justin Forsett","rb",105.775,-21.55,0
"142","Jacob Tamme","te",38.905,-21.74,0
"143","Phillip Dorsett","wr",52.35,-22.58,0
"144","Kenny Britt","wr",51.76,-23.17,0
"145","Mike Wallace","wr",51.59,-23.34,0
"146","Devin Funchess","wr",51.435,-23.495,0
"147","Will Tye","te",36.51,-24.135,0
"148","Dion Lewis","rb",102.815,-24.51,0
"149","Duke Johnson","rb",102.385,-24.94,0
"150","Chris Ivory","rb",102.2,-25.125,0
"151","Cameron Brate","te",35.405,-25.24,0
"152","Jermaine Kearse","wr",48.48,-26.45,0
"153","Benjamin Watson","te",33.965,-26.68,0
"154","Kendall Wright","wr",48.005,-26.925,0
"155","Vance McDonald","te",33.69,-26.955,0
"156","Ted Ginn","wr",47.185,-27.745,0
"157","Lance Kendricks","te",32.89,-27.755,0
"158","Nelson Agholor","wr",46.765,-28.165,0
"159","Jaelen Strong","wr",46.69,-28.24,0
"160","Will Fuller","wr",46.65,-28.28,0
"161","Darren Fells","te",31.7,-28.945,0
"162","Luke Willson","te",31.415,-29.23,0
"163","Teddy Bridgewater","qb",255.808,-30.186,0
"164","Ryan Griffin","te",30.43,-30.215,0
"165","Robert Woods","wr",44.69,-30.24,0
"166","Jeff Heuerman","te",29.85,-30.795,0
"167","Garrett Celek","te",29.285,-31.36,0
"168","Rishard Matthews","wr",43.285,-31.645,0
"169","Justin Hunter","wr",43.27,-31.66,0
"170","Danny Woodhead","rb",95.29,-32.035,0
"171","Tyler Boyd","wr",42.825,-32.105,0
"172","Jace Amaro","te",28.5,-32.145,0
"173","DeAngelo Williams","rb",95,-32.325,0
"174","Crockett Gillmore","te",27.965,-32.68,0
"175","Brandon LaFell","wr",42.115,-32.815,0
"176","Breshad Perriman","wr",41.48,-33.45,0
"177","Virgil Green","te",26.9,-33.745,0
"178","Larry Donnell","te",26.19,-34.455,0
"179","Anquan Boldin","wr",39.805,-35.125,0
"180","Chris Hogan","wr",39.23,-35.7,0
"181","Josh Hill","te",24.825,-35.82,0
"182","Jermaine Gresham","te",24.805,-35.84,0
"183","Brent Celek","te",24.65,-35.995,0
"184","Josh Doctson","wr",38.385,-36.545,0
"185","Cole Beasley","wr",38.225,-36.705,0
